date,open,high,low,close,volume
2024-02-28,111.28,112.42,109.91,111.36,1206724
2024-02-29,109.10,110.60,107.98,109.05,1265494
2024-03-01,105.88,107.65,104.36,105.61,1318414
2024-03-04,103.08,104.85,101.08,102.61,1360756
2024-03-05,101.75,103.25,99.48,101.21,1388739
2024-03-06,101.89,102.95,99.66,101.46,1399861
2024-03-07,102.53,103.93,100.66,102.42,1393131
2024-03-08,102.62,104.64,101.04,102.92,1369149
2024-03-11,101.91,104.37,100.58,102.58,1330057
2024-03-12,101.22,103.63,100.20,102.05,1279348
2024-03-13,101.85,103.73,100.55,102.56,1221550
2024-03-14,104.55,106.18,102.99,104.88,1161828
2024-03-15,108.86,110.53,106.94,108.68,1105515
2024-03-18,113.28,115.07,110.83,112.63,1057642
2024-03-19,116.18,117.84,113.57,115.30,1022486
2024-03-20,116.91,118.19,114.55,116.10,1003186
2024-03-21,116.07,117.26,114.32,115.60,1001468
2024-03-22,114.99,116.60,113.96,115.00,1017483
2024-03-25,114.73,116.97,113.39,115.17,1049802
2024-03-26,115.27,117.67,113.68,115.96,1095538
2024-03-27,115.66,117.72,113.91,116.34,1150605
2024-03-28,114.82,116.35,113.02,115.27,1210084
2024-03-29,112.48,114.12,110.76,112.60,1268662
2024-04-01,109.51,111.29,107.83,109.35,1321107
2024-04-02,107.40,109.15,105.83,107.07,1362734
2024-04-03,107.20,108.68,105.79,106.87,1389824
2024-04-04,108.90,109.93,107.27,108.66,1399958
2024-04-05,111.44,112.87,109.69,111.31,1392230
2024-04-08,113.61,115.34,111.77,113.54,1367331
2024-04-09,114.85,116.64,112.98,114.77,1327484
2024-04-10,115.64,117.20,113.83,115.52,1276250
2024-04-11,116.90,118.04,115.30,116.78,1218204
2024-04-12,119.14,120.47,117.93,119.13,1158532
2024-04-15,121.89,123.74,120.76,122.06,1102565
2024-04-16,123.86,126.06,122.44,124.26,1055301
2024-04-17,123.90,126.08,122.25,124.44,1020962
2024-04-18,121.81,123.57,120.03,122.31,1002616
2024-04-19,118.55,120.04,116.77,118.82,1001902
2024-04-22,115.64,117.25,113.84,115.51,1018884
2024-04-23,114.06,115.86,112.09,113.53,1052044
2024-04-24,113.71,115.41,111.77,112.92,1098420
2024-04-25,113.54,114.90,111.58,112.75,1153870
2024-04-26,112.53,113.63,110.55,112.02,1213441
2024-04-29,110.53,112.07,108.82,110.50,1271811
2024-04-30,108.54,110.79,106.75,109.01,1323767
2024-05-01,107.97,110.54,106.20,108.79,1364666
2024-05-02,109.66,111.99,108.02,110.54,1390857
2024-05-03,113.15,114.79,111.74,113.78,1399998
2024-05-06,116.95,118.59,115.85,117.15,1391275
2024-05-07,119.50,121.25,118.01,119.23,1365465
2024-05-08,120.15,121.93,118.04,119.53,1324875
2024-05-09,119.45,121.00,117.04,118.74,1273130
2024-05-10,118.64,119.76,116.28,118.07,1214853
2024-05-13,118.57,119.92,116.54,118.30,1155248
2024-05-14,119.10,120.85,117.49,119.16,1099642
2024-05-15,119.24,121.32,117.88,119.52,1053000
2024-05-16,117.99,119.95,116.93,118.33,1019489
2024-05-17,115.20,116.72,113.94,115.49,1002102
2024-05-20,111.84,113.26,110.31,112.02,1002393
2024-05-21,109.37,111.09,107.65,109.46,1020336
2024-05-22,108.74,110.61,106.94,108.81,1054327
2024-05-23,109.83,111.62,108.08,109.94,1101331
2024-05-24,111.62,113.08,110.04,111.74,1157149
2024-05-27,113.03,114.23,111.71,113.10,1216794
2024-05-28,113.78,115.33,112.68,113.69,1274940
2024-05-29,114.52,116.30,112.91,114.21,1326391
2024-05-30,116.26,118.00,114.20,115.76,1366551
2024-05-31,119.40,120.83,117.11,118.85,1391835
2024-06-03,123.24,124.26,121.05,122.85,1399982
2024-06-04,126.32,127.79,124.55,126.28,1390265
2024-06-05,127.40,129.52,125.85,127.77,1363553
2024-06-06,126.27,128.75,124.99,126.98,1322231
2024-06-07,123.95,126.31,122.91,124.78,1269990
2024-06-10,121.95,123.70,120.61,122.61,1211497
2024-06-11,121.21,122.83,119.61,121.45,1151977
2024-06-12,121.50,123.21,119.47,121.23,1096747
2024-06-13,121.74,123.53,119.24,121.03,1050740
2024-06-14,120.90,122.50,118.29,120.01,1018066
2024-06-17,118.92,120.12,116.64,118.15,1001644
2024-06-18,116.89,118.16,115.26,116.49,1002940
2024-06-19,116.27,118.01,115.19,116.36,1021839
2024-06-20,117.93,120.23,116.54,118.43,1056652
2024-06-21,121.44,123.81,119.81,122.14,1104270
2024-06-24,125.37,127.33,123.60,126.02,1160440
2024-06-25,128.27,129.83,126.48,128.67,1220143
2024-06-26,129.56,131.21,127.88,129.64,1278047
2024-06-27,129.80,131.59,128.12,129.59,1328979
2024-06-28,130.04,131.77,128.52,129.71,1368390
2024-07-01,130.95,132.36,129.49,130.62,1392759
2024-07-02,132.16,133.21,130.51,131.94,1399909
2024-07-03,132.62,134.11,130.85,132.50,1389202
2024-07-04,131.37,133.14,129.52,131.31,1361594
2024-07-05,128.44,130.21,126.57,128.35,1319552
2024-07-08,124.87,126.38,123.09,124.75,1266830
2024-07-09,122.11,123.18,120.57,122.01,1208138
2024-07-10,121.01,122.41,119.87,121.02,1148720
2024-07-11,121.31,123.24,120.13,121.52,1093882
2024-07-12,121.97,124.19,120.50,122.40,1048523
2024-07-15,122.05,124.18,120.36,122.59,1016695
2024-07-16,121.48,123.14,119.69,121.96,1001241
2024-07-17,121.18,122.68,119.40,121.38,1003542
2024-07-18,122.23,123.90,120.40,122.04,1023392
2024-07-19,125.04,126.84,123.05,124.45,1059017
2024-07-22,128.75,130.41,126.84,127.94,1107236
2024-07-23,131.80,133.08,129.81,131.03,1163742
2024-07-24,132.84,134.02,130.89,132.40,1223486
2024-07-25,131.67,133.32,129.96,131.72,1281132
2024-07-26,129.30,131.64,127.50,129.85,1331531
2024-07-29,127.21,129.77,125.45,128.06,1370180
2024-07-30,126.26,128.51,124.66,127.12,1393628
